educationagencyname,averagetest,income50perc,ginico,percentmalesBA,percentfemalesBA,percentmalespov,percentfemalespov,percentnatam,percentasian,percenthispanic,percentblacks,percentwhites,totalenrollment
ST. VRAIN VALLEY SCHOOL DISTRICT NO. RE1J,0.7026,77524.9,0.3827,0.428,0.3806,0.0805,0.105,0.007,0.0373,0.2832,0.0115,0.6529,12238.83
ACTON SCHOOL DEPARTMENT,0.3981,77499.9,0.3364,0.1823,0.2331,0.0749,0.081,0.0022,0.0062,0.0139,0.0037,0.9603,168.8333
CHESTER-EAST LINCOLN CCSD 61,-0.4071,77499.9,0.2831,0.2668,0.3433,0.0763,0.0979,0,0.0058,0.0068,0.0077,0.9484,190.3333
COLEBROOK SCHOOL DISTRICT,1.5138,77499.9,0.3482,0.2694,0.2641,0.0187,0.0541,0.0111,0.0023,0.0028,0.0022,0.9238,67.5
COLSTRIP ELEM,0.2669,77499.9,0.4458,0.2683,0.2166,0.1016,0.1244,0.3436,0.0075,0.0447,0.0035,0.5501,286.6667
DEER CREEK-MACKINAW CUSD 701,0.919,77499.9,0.2568,0.2459,0.2485,0.0301,0.0205,0,0.0062,0.0131,0.0131,0.956,505.1667
DURAND CUSD 322,0.6239,77499.9,0.2496,0.2462,0.3085,0.0345,0.0451,0,0.0066,0.0245,0.0021,0.944,285
HAMPTON BOROUGH,0.6581,77499.9,0.3454,0.2659,0.3306,0.0604,0.1341,0,0.0031,0.0992,0.056,0.8193,81
MARTENSDALE-ST MARYS COMM SCHOOL DISTRICT,0.1142,77499.9,0.354,0.1883,0.2228,0.0225,0.0413,0.0013,0.0041,0.0436,0.0041,0.9336,242.5
MONTMORENCY CCSD 145,0.2554,77499.9,0.2364,0.118,0.1526,0.1087,0.0824,0.0054,0,0.0701,0.011,0.9033,211.6667
PULLMAN SCHOOL DISTRICT,1.2302,77499.9,0.3839,0.6387,0.63,0.3734,0.3582,0.0117,0.0998,0.087,0.0296,0.7249,1115.667
ST ROSE SD 14-15,1.3238,77499.9,0.2795,0.1156,0.1855,0.0381,0.0228,0.0016,0,0.0137,0,0.9818,109.3333
TWIN HILLS UNION ELEMENTARY,0.2491,77499.9,0.3191,0.4974,0.5329,0.0456,0.0158,0.0042,0.0202,0.1502,0.0108,0.7823,677.1667
WOONSOCKET SCHOOL DISTRICT 55-4,-0.427,77499.9,0.2969,0.1667,0.1935,0.1416,0.1857,0.014,0.0015,0.0229,0.0041,0.9559,89.5
COLLEGE STATION ISD,1.1628,77448.35,0.4074,0.5988,0.5431,0.3252,0.3693,0.0018,0.0828,0.1942,0.1322,0.5711,4754.167
ORCUTT UNION ELEMENTARY,-0.5858,77438.93,0.333,0.2781,0.2447,0.0472,0.051,0.0072,0.0438,0.3853,0.0184,0.5139,3080
ROSS LOCAL,1.4185,77427.44,0.3109,0.1818,0.1808,0.0654,0.1003,0.0006,0.0028,0.006,0.0027,0.9748,1308
GRANDVILLE PUBLIC SCHOOLS,1.063,77425.28,0.3286,0.3325,0.3089,0.0574,0.0883,0.0029,0.0317,0.0897,0.0333,0.8052,2565.833
NORRIDGE SD 80,0.6876,77424.15,0.3256,0.1916,0.2065,0.0387,0.0655,0.002,0.0412,0.1207,0.0091,0.8067,679.3333
CHATHAM CENTRAL SCHOOL DISTRICT,0.1793,77413.7,0.3309,0.3766,0.361,0.0843,0.0761,0.0024,0.0125,0.0272,0.0431,0.9049,557.8333
WAPSIE VALLEY COMM SCHOOL DISTRICT,0.1967,77352.84,0.2865,0.1378,0.2281,0.0471,0.0409,0,0.0045,0.0183,0.0011,0.9632,333.6667
ST. LOUIS PARK PUBLIC SCHOOL DIST.,1.0074,77351.39,0.3811,0.508,0.5052,0.0829,0.0863,0.0079,0.0492,0.0979,0.1973,0.6015,1969.667
EASTHAMPTON,0.4781,77343.66,0.3186,0.2844,0.3149,0.0406,0.0816,0.0002,0.0429,0.0771,0.0189,0.8482,729.1667
SWEETWATER COUNTY SCHOOL DISTRICT #1,-0.0833,77336.35,0.3942,0.1583,0.1828,0.0681,0.1025,0.0096,0.0099,0.2062,0.0158,0.746,2480.167
FOLSOM-CORDOVA UNIFIED,0.1235,77333.24,0.3951,0.3215,0.3381,0.0948,0.1041,0.0073,0.1347,0.1675,0.0752,0.5877,8919.667
ST. ANTHONY-NEW BRIGHTON SCHOOLS,1.761,77314.73,0.3658,0.4898,0.3828,0.0733,0.1035,0.0114,0.0731,0.061,0.0563,0.7756,772.6667
WESTCHESTER SD 92-5,0.0748,77302.54,0.2821,0.3597,0.3051,0.0266,0.0482,0.0027,0.0227,0.291,0.2586,0.379,787.6667
WAKE COUNTY SCHOOLS,0.9819,77289.3,0.3901,0.494,0.4567,0.0882,0.1061,0.0034,0.0628,0.1371,0.2657,0.502,71133.67
ISLAND PARK UNION FREE SCHOOL DISTRICT,1.0257,77272.64,0.3173,0.2484,0.3307,0.0806,0.0826,0.0011,0.0217,0.2569,0.0227,0.6962,462.8333
HOT SPRINGS SCHOOL DISTRICT 23-2,0.2756,77272.63,0.2368,0.206,0.2128,0.1902,0.1894,0.1386,0.0031,0.0229,0.0211,0.8102,379.8333
NORTHEASTERN LOCAL,1.1319,77272.63,0.3987,0.1817,0.1598,0.0965,0.0691,0.0013,0.0054,0.0709,0.0086,0.8846,514.3333
SIOUX CENTER COMM SCHOOL DISTRICT,0.8159,77243.5,0.2575,0.2802,0.2253,0.0931,0.0322,0.0083,0.0176,0.2131,0.0015,0.7472,459.3333
OXFORD AREA SD,0.6995,77232.05,0.336,0.2436,0.2628,0.1021,0.0918,0.0005,0.0053,0.2052,0.0548,0.7257,1771.167
KREMLIN-HILLSDALE,-0.3921,77222.13,0.2917,0.2594,0.3282,0.0384,0.0607,0.0212,0.0264,0.04,0.0312,0.862,137.1667
