educationagencyname,averagetest,income50perc,ginico,percentmalesBA,percentfemalesBA,percentmalespov,percentfemalespov,percentnatam,percentasian,percenthispanic,percentblacks,percentwhites,totalenrollment
HEARD COUNTY,-0.1347,41153.61,0.423,0.0692,0.0759,0.1871,0.2089,0.0005,0.0047,0.0201,0.0979,0.8386,937
NORWOOD ESD 63,0.1338,41142.63,0.3152,0.062,0.1081,0.0939,0.1038,0.0022,0.0104,0.0248,0.012,0.9186,291.6667
THOMASTON-UPSON COUNTY,-0.5957,41120.46,0.3764,0.0944,0.1296,0.1846,0.2162,0.001,0.0044,0.0232,0.3495,0.5879,2066.5
COLUMBUS,-0.1489,41110.89,0.3317,0.1678,0.1729,0.1346,0.2331,0.0529,0.0024,0.0286,0.0139,0.8599,483.3333
COOPER ISD,-0.3594,41110.89,0.4005,0.1697,0.1504,0.1276,0.1721,0.0119,0.0057,0.0678,0.112,0.7783,349
MARSHALL ISD,-1.0304,41110.89,0.4327,0.142,0.1782,0.1524,0.2072,0.0028,0.0055,0.2739,0.3838,0.3204,2508.5
DARDANELLE SCHOOL DISTRICT,-0.0024,41093.53,0.3547,0.1153,0.1121,0.1378,0.1646,0.0043,0.0109,0.2802,0.0208,0.6744,885.5
GRANT PARISH,-0.8199,41093.53,0.389,0.0964,0.1442,0.1337,0.1893,0.0054,0.0053,0.0096,0.1182,0.8573,1557
KIRBYVILLE CISD,-0.2321,41093.53,0.3598,0.1135,0.0757,0.1656,0.2852,0.0013,0.0052,0.0581,0.1158,0.7982,640.1667
GILMER COUNTY SCHOOLS,-0.4366,41090.69,0.3755,0.1133,0.1349,0.2751,0.3264,0,0.0017,0.0095,0.0057,0.9695,395.3333
AURORA JOINT DISTRICT NO. 28 OF THE COUNTIES OF ADAMS AND A,-1.0987,41088.22,0.3999,0.1903,0.1877,0.1836,0.2304,0.0085,0.0447,0.5396,0.1957,0.1858,16402
ATLANTA COMMUNITY SCHOOLS,-0.7247,41083.12,0.3994,0.1185,0.0996,0.1719,0.2345,0.0071,0,0.0532,0.0059,0.9322,121.6667
MADERA UNIFIED,-1.5467,41077.77,0.4073,0.0924,0.0988,0.2261,0.2654,0.0046,0.0136,0.8571,0.0241,0.0932,9261.833
CLYDE-SAVANNAH CENTRAL SCHOOL DISTRICT,-0.7693,41071.21,0.3674,0.0778,0.1178,0.1326,0.2066,0.0018,0.0053,0.0522,0.0891,0.8476,380.1667
GENTRY SCHOOL DISTRICT,0.0635,41071.21,0.3678,0.1836,0.0927,0.1177,0.1688,0.0791,0.0734,0.1231,0.0047,0.6958,683.5
JEFF DAVIS COUNTY,-0.1785,41071.21,0.3613,0.0949,0.1358,0.2146,0.265,0.0011,0.0058,0.151,0.1611,0.6706,1367
LIVE OAK UNIFIED,-1.464,41071.21,0.4042,0.1306,0.116,0.1804,0.2412,0.0104,0.1206,0.5898,0.0052,0.2538,814.3333
LUDLOW INDEPENDENT,-0.4418,41071.21,0.3683,0.1922,0.198,0.1485,0.1135,0,0.0039,0.0108,0.003,0.9602,387.1667
MONTGOMERY CO. R-II,-0.5216,41071.21,0.3657,0.0983,0.1619,0.1551,0.1866,0.0099,0.0018,0.0172,0.0228,0.9296,578
SWITZERLAND OF OHIO LOCAL,-0.4989,41071.21,0.4006,0.1062,0.1047,0.1308,0.2034,0.0012,0,0.0054,0.0039,0.9779,1115.5
LAKEWOOD TOWNSHIP,-1.1889,41066.86,0.3994,0.2885,0.1885,0.2572,0.265,0.0029,0.0053,0.7091,0.2188,0.062,2205
MITCHELL COUNTY,-0.7384,41052.42,0.3836,0.0837,0.0959,0.1596,0.2085,0.0015,0.0042,0.0581,0.6098,0.3149,1150.333
LORDSBURG MUNICIPAL SCHOOLS,-1.514,41041.46,0.429,0.1787,0.131,0.1811,0.2453,0.0016,0.0034,0.8693,0.0043,0.1199,246
GUTHRIE,-0.481,41018.32,0.3853,0.1806,0.1691,0.1978,0.1833,0.0632,0.0024,0.0836,0.0818,0.7206,1488.167
BAY SCHOOL DISTRICT,-0.304,40999.8,0.3019,0.0343,0.0526,0.0911,0.1205,0,0.0035,0.0093,0.0283,0.9564,266.5
BELLS CITY SCHOOL DISTRICT,-0.2976,40999.8,0.427,0.1357,0.162,0.1563,0.2108,0.0025,0.013,0.2164,0.1928,0.5736,192.8333
BUTTEVILLE UNION ELEMENTARY,-0.3937,40999.8,0.3991,0.3043,0.2683,0.1349,0.1711,0.0257,0.0083,0.1226,0.028,0.7213,117
CRAWFORD PUBLIC SCHOOLS,0.255,40999.8,0.3582,0.1671,0.2321,0.1351,0.2091,0.0231,0,0.0201,0.0081,0.9486,99.8333
DEL NORTE CONSOLIDATED SCHOOL DISTRICT NO. C-7,0.2691,40999.8,0.35,0.1931,0.2844,0.2043,0.2077,0.0087,0,0.538,0.0042,0.4468,258.1667
EVART PUBLIC SCHOOLS,-1.1738,40999.8,0.3856,0.0813,0.0781,0.2182,0.2062,0.005,0.0024,0.0212,0.0178,0.9521,427.1667
FARWELL ISD,-0.1954,40999.8,0.4138,0.2389,0.1349,0.1551,0.2084,0.0006,0,0.5281,0.0026,0.4663,259.8333
GOSHEN COUNTY SCHOOL DISTRICT #1,0.3039,40999.8,0.4627,0.2127,0.1698,0.1175,0.1474,0.0084,0.0029,0.1727,0.0033,0.7973,818.5
JUNCTION ISD,-0.1029,40999.8,0.3687,0.2204,0.1856,0.1495,0.156,0,0.004,0.3874,0.0028,0.6,294
LA FARGE SCHOOL DISTRICT,0.0922,40999.8,0.3937,0.1456,0.1388,0.1717,0.201,0.011,0.0031,0.0389,0,0.9355,102.8333
NORTH PARK SCHOOL DISTRICT R-1,0.3002,40999.8,0.3538,0.25,0.1816,0.1492,0.1278,0.011,0,0.174,0.0037,0.7911,90
NORTHLAND COMMUNITY SCHOOLS,0.4034,40999.8,0.3981,0.1946,0.1342,0.1126,0.1487,0.2024,0.0011,0.0105,0.0037,0.751,158.3333
SUPERIOR CENTRAL SCHOOLS,-0.5739,40999.8,0.3634,0.1817,0.2248,0.1071,0.1401,0.0055,0.0122,0.0076,0.0029,0.9223,174.5
VESTABURG COMMUNITY SCHOOLS,-1.1357,40999.8,0.3635,0.0591,0.12,0.2189,0.2699,0.0063,0.0042,0.0322,0.0125,0.9303,331
WEST ST. FRANCOIS CO. R-IV,0.9828,40944.25,0.4309,0.1406,0.146,0.1907,0.2687,0,0.001,0.0053,0.006,0.987,474.5
BELL CO,0.0804,40937.31,0.4395,0.0909,0.1238,0.2252,0.2442,0.0002,0.0005,0.0021,0.002,0.9938,1376.667
PINE RIVER-BACKUS SCHOOL DISTRICT,0.0327,40937.31,0.3488,0.1478,0.1551,0.1155,0.1383,0.0172,0.011,0.0119,0.0265,0.9289,377.3333
TEMPE SCHOOL DISTRICT,-0.7892,40934.39,0.4186,0.353,0.3201,0.2214,0.2603,0.0775,0.0296,0.5003,0.1204,0.2503,8333.167
LOS ANGELES UNIFIED,-1.3745,40928.45,0.4494,0.2892,0.2747,0.178,0.209,0.0036,0.0601,0.74,0.0979,0.0893,298010.3
SANTA CRUZ ELEMENTARY DISTRICT,-0.2647,40916.48,0.318,0.3275,0.2232,0.2543,0.3039,0,0.0039,0.9395,0,0.0566,136.1667
CALUMET CITY SD 155,-2.0556,40908.91,0.4235,0.149,0.1252,0.1752,0.2086,0.008,0.0015,0.2773,0.6807,0.017,826.8333
NIAGARA SCHOOL DISTRICT,-0.0607,40899.82,0.4248,0.1396,0.1369,0.0988,0.2056,0,0.0016,0.0008,0.0034,0.9924,198.1667
PIGGOTT SCHOOL DISTRICT,-0.1392,40882.18,0.3753,0.0834,0.1216,0.1598,0.2005,0,0.0033,0.0129,0.0067,0.9747,447.5
WESTSIDE CONS. SCHOOL DISTRICT,-0.0024,40882.18,0.3573,0.0851,0.141,0.1131,0.1641,0.0015,0.0002,0.0263,0.0177,0.9446,781.3333
CHUALAR UNION ELEMENTARY,-2.2281,40874.82,0.3142,0.1069,0.1052,0.1055,0.1774,0,0.003,0.9833,0,0.0131,229.5
ENTIAT SCHOOL DISTRICT,-0.349,40874.82,0.4108,0.0992,0.1367,0.1962,0.1886,0.0031,0.0186,0.3199,0.0021,0.6172,163.6667
SAINT JOHNSVILLE CENTRAL SCHOOL DISTRICT,-0.5559,40874.82,0.409,0.0871,0.1041,0.2657,0.2788,0,0,0.0073,0.0137,0.9764,218.2
ONTARIO SD 8C,-1.0504,40859.2,0.4039,0.1193,0.1865,0.3194,0.2332,0.0057,0.0096,0.6013,0.0088,0.3559,1260.833
SOUTH BAY UNION ELEMENTARY,-0.9764,40851.48,0.3818,0.1416,0.1333,0.167,0.1938,0.0051,0.0572,0.8011,0.0363,0.0863,4598
OAKLAND UNIFIED,-1.3289,40845.29,0.4766,0.3486,0.3753,0.1748,0.1982,0.0033,0.1371,0.4115,0.3106,0.0809,21939.5
ASHLAND SCHOOL DISTRICT,0.1087,40833.17,0.3966,0.2585,0.1954,0.1573,0.2207,0.2167,0.0053,0.0122,0.0063,0.7394,940.8333
CARBONDALE AREA SD,0.332,40833.17,0.382,0.1126,0.1259,0.1676,0.1942,0.0072,0.007,0.0427,0.039,0.9009,812.6667
CHAWANAKEE UNIFIED,-1.2429,40833.17,0.4263,0.2833,0.232,0.1226,0.1518,0.0887,0.0039,0.1765,0.0078,0.6491,375.5
CLAIBORNE COUNTY SCHOOL DIST,-0.8477,40833.17,0.3688,0.0939,0.1262,0.1773,0.2091,0.0016,0.0016,0.0088,0.0091,0.975,2128.667
KINGSTON K-14,0.4703,40833.17,0.2856,0.0338,0.0559,0.2042,0.2189,0.0049,0.0015,0.0054,0.0097,0.9574,337
MARION COUNTY SCHOOL DISTRICT,-0.4901,40833.17,0.4195,0.1403,0.1296,0.1759,0.1966,0.0012,0.0047,0.0126,0.0356,0.9417,1995.833
MOUNT BAKER SCHOOL DISTRICT,-0.1454,40833.17,0.4259,0.2038,0.2411,0.1631,0.2002,0.0572,0.0109,0.0871,0.0052,0.7991,907.1667
OPP CITY,-0.8011,40833.17,0.5132,0.1418,0.1113,0.17,0.3053,0.0038,0.0071,0.0074,0.2278,0.749,613.8333
ADVANCE R-IV,0.6094,40833.16,0.4182,0.064,0.1526,0.1184,0.2624,0.0017,0.0026,0.0044,0.0026,0.9888,194
HOWELL VALLEY R-I,0.3638,40833.16,0.354,0.2085,0.2455,0.1528,0.1367,0,0.019,0,0.0012,0.9759,130.3333
LIBERAL R-II,-0.5207,40833.16,0.3378,0.0957,0.1975,0.1085,0.1755,0.0168,0.0048,0.0202,0.0093,0.9483,237.1667
SLATON ISD,-0.8833,40833.16,0.4262,0.1006,0.1474,0.2378,0.1905,0.0036,0.0006,0.6754,0.0551,0.2545,556.6667
HOLBROOK UNIFIED DISTRICT,-0.9661,40769.08,0.4082,0.1185,0.1406,0.2472,0.2675,0.5854,0.0021,0.1452,0.014,0.2282,861.6667
KOSCIUSKO SCHOOL DISTRICT,0.4047,40769.07,0.4606,0.2252,0.2204,0.1861,0.2806,0.0029,0.0053,0.0288,0.4688,0.4926,1100.167
NEWPORT SCHOOL DISTRICT,0.3913,40749.85,0.4108,0.162,0.193,0.1738,0.195,0.0072,0.0083,0.0387,0.0083,0.8901,495.3333
SODUS CENTRAL SCHOOL DISTRICT,-0.3583,40749.85,0.412,0.1682,0.1711,0.1382,0.1989,0.0026,0.0032,0.1377,0.1593,0.6644,516
WELLINGTON ISD,0.5596,40749.85,0.4838,0.1928,0.1592,0.2137,0.2361,0.0015,0,0.4601,0.048,0.4783,227.8333
ASHE COUNTY SCHOOLS,0.6263,40740.59,0.3696,0.1763,0.1673,0.1687,0.1879,0.0026,0.0038,0.073,0.0107,0.9014,1513.167
LAFAYETTE SCHOOL CORPORATION,-0.0549,40740.59,0.454,0.2821,0.2381,0.1812,0.2172,0.0051,0.006,0.2174,0.1226,0.5828,3277
FERNDALE AREA SD,0.1366,40714.14,0.344,0.1276,0.1379,0.1181,0.15,0,0.0075,0.0256,0.0523,0.8713,355.6667
PLUMAS UNIFIED,-0.3701,40714.14,0.3679,0.1956,0.2139,0.1067,0.1415,0.0498,0.008,0.1344,0.0122,0.7684,832.3333
ROCHESTER AREA SD,-0.029,40714.14,0.3219,0.1272,0.1279,0.1296,0.1567,0,0.0045,0.0032,0.2324,0.759,345.8333
DES ARC SCHOOL DISTRICT,-0.1375,40699.86,0.417,0.1401,0.1197,0.1214,0.1617,0.0027,0,0.0074,0.1149,0.8725,263.3333
RAMSEY CUSD 204,-0.8502,40699.86,0.396,0.0794,0.1045,0.3017,0.2264,0,0.0021,0.0064,0.0021,0.9858,231.1667
PALESTINE ISD,-0.7824,40697.54,0.4563,0.1713,0.16,0.1659,0.252,0.0035,0.0078,0.3601,0.2841,0.3307,1465.5
ATLANTIC COMM SCHOOL DISTRICT,0.3623,40681.68,0.3526,0.1552,0.1343,0.1357,0.1972,0.0023,0.0036,0.0372,0.0074,0.9287,656.3333
FENNVILLE PUBLIC SCHOOLS,-0.9154,40681.68,0.377,0.1577,0.167,0.1605,0.1678,0.0017,0.0002,0.4499,0.0127,0.524,649.8333
MAD RIVER LOCAL,-0.0513,40681.68,0.3737,0.1616,0.131,0.1363,0.1661,0.0024,0.0192,0.044,0.0808,0.7913,1647.333
IRVINGTON TOWNSHIP,-1.5376,40676.95,0.4087,0.12,0.1459,0.134,0.1969,0.0011,0.004,0.0923,0.892,0.0002,3048.667
PEAVINE,-1.2797,40666.54,0.4065,0.0771,0.1266,0.2269,0.2574,0.4656,0,0.0835,0,0.3123,103.1667
FREMONT COMM SCHOOL DISTRICT,-0.7371,40666.53,0.3805,0.1462,0.2248,0.1455,0.171,0,0,0.0262,0.0091,0.9607,72
ALBERTVILLE CITY,-0.759,40624.88,0.4116,0.1229,0.1421,0.2359,0.2361,0.0018,0.0048,0.3468,0.0191,0.6183,1867.667
CLEVELAND ISD,-1.3169,40624.88,0.423,0.0779,0.0764,0.2001,0.2109,0.0027,0.0094,0.3967,0.1132,0.4646,1714.667
COLONA SD 190,-1.1936,40624.88,0.2877,0.0849,0.0856,0.1432,0.1548,0.0012,0.0073,0.1131,0.0066,0.8394,277.6667
MADISON C-3,-0.1418,40624.88,0.3772,0.064,0.1078,0.1335,0.1607,0,0,0.0089,0.0105,0.9805,110
MAPLE ELEMENTARY,-1.0116,40624.88,0.4633,0.1897,0.1212,0.078,0.3792,0,0.0126,0.502,0.0036,0.4817,185
STAFFORD,0.3131,40624.88,0.312,0.1802,0.1839,0.1459,0.1192,0.0067,0,0.1199,0.0118,0.8565,98.8333
HURLEY SCHOOL DISTRICT,0.0885,40624.87,0.3633,0.2,0.1824,0.1149,0.1759,0.0126,0.0069,0.0058,0.0073,0.9662,257.5
GREENFIELD UNION,-1.4476,40616.76,0.3283,0.0476,0.0575,0.1877,0.2338,0.0032,0.0279,0.783,0.0831,0.0891,5505.333
EASTLAND ISD,-0.1055,40588.12,0.3736,0.1313,0.1706,0.2265,0.2205,0.0032,0.0104,0.2344,0.0178,0.733,518.6667
WESTWOOD COMMUNITY SCHOOLS,-1.7633,40576.81,0.4006,0.1552,0.1402,0.1785,0.2201,0.0012,0.0071,0.0254,0.782,0.1827,819.3333
BARTON ID SCHOOL DISTRICT,0.8082,40571.31,0.3482,0.1754,0.2234,0.1496,0.1048,0,0,0.0074,0.0164,0.9432,105.6667
CUMBERLAND COUNTY,-0.6143,40555.45,0.3868,0.0851,0.0729,0.2251,0.3062,0.0004,0.0011,0.0152,0.0218,0.9341,443.3333
BRUSHTON-MOIRA CENTRAL SCHOOL DISTRICT,-0.785,40555.44,0.3861,0.1431,0.1659,0.1465,0.1813,0.0052,0.0009,0,0.0028,0.9901,354
NASHVILLE SCHOOL DISTRICT,-0.2095,40535.61,0.3856,0.1546,0.1108,0.1379,0.2193,0.0029,0.0071,0.1759,0.2277,0.5664,864.6667
OTHELLO SCHOOL DISTRICT,-0.7216,40526.21,0.3919,0.1406,0.1016,0.2601,0.2799,0.0017,0.0037,0.8527,0.0025,0.1365,1728.5
NEVADA SCHOOL DISTRICT,-0.4752,40499.9,0.3321,0.0872,0.0977,0.1508,0.1327,0.0099,0.0046,0.0153,0.3663,0.5687,183.5
STANFIELD SD 61,-0.5744,40499.9,0.3299,0.0927,0.1276,0.129,0.1555,0.0048,0.0054,0.4282,0.0054,0.5479,250
WEST RUTLAND SCHOOL DISTRICT,0.6502,40499.9,0.4458,0.2007,0.2393,0.1125,0.2153,0,0.0032,0.0118,0.0237,0.9602,155.3333
CARUTHERS UNIFIED,-1.2317,40454.45,0.3479,0.0753,0.0545,0.199,0.2126,0.0033,0.0863,0.7461,0.0032,0.1545,510.6667
PUBLIC SCHOOLS OF CALUMET,0.3776,40454.45,0.3313,0.1754,0.1792,0.1945,0.1682,0.0041,0.0007,0.0051,0.001,0.9799,684.5
MATHIS ISD,-1.2637,40434.7,0.4085,0.0627,0.0941,0.2676,0.2718,0.0002,0,0.9215,0.0139,0.0644,731.1667
TWIN RIVERS UNIFIED,-1.4768,40433.44,0.4017,0.147,0.1504,0.2024,0.2349,0.0082,0.0935,0.3693,0.1432,0.3193,14088.17
ELMIRA CITY SCHOOL DISTRICT,-0.8759,40416.58,0.4323,0.1718,0.1706,0.1824,0.2032,0.0021,0.0058,0.0271,0.1873,0.7617,3039
MSAD 36,-0.3247,40416.58,0.4389,0.0741,0.1052,0.2162,0.2036,0,0.004,0.0255,0.0064,0.9601,313.5
CROCKETT ISD,-1.4003,40399.92,0.4184,0.105,0.1171,0.2277,0.2966,0.003,0.0094,0.2441,0.4957,0.2336,601.1667
TIFT COUNTY,-0.398,40392.08,0.4397,0.1615,0.1641,0.2116,0.2441,0.0003,0.0116,0.1688,0.3429,0.4538,3545.167
EL DORADO SPRINGS R-II,-0.7676,40384.54,0.4503,0.0688,0.0918,0.1752,0.2294,0.0021,0.0012,0.0116,0.003,0.9795,560
COOS BAY SD 9,-1.0985,40374.93,0.443,0.1784,0.1862,0.1966,0.1693,0.0707,0.0143,0.1264,0.0075,0.7085,1476
CROWELL ISD,-1.3437,40374.93,0.3902,0.1563,0.1555,0.2377,0.2297,0,0,0.2244,0.0481,0.7147,90.6667
DOWAGIAC UNION SCHOOL DISTRICT,-0.8627,40374.93,0.4056,0.1246,0.1334,0.1783,0.1729,0.0211,0.005,0.1401,0.1103,0.6811,1089.833
LAMAR COUNTY,-0.8717,40374.93,0.3918,0.077,0.1157,0.2091,0.1998,0.0012,0.0065,0.0198,0.3433,0.6103,1134.5
DAVID DOUGLAS SD 40,-0.6289,40364.51,0.426,0.1703,0.165,0.1784,0.2246,0.0098,0.1339,0.237,0.0947,0.4651,4926.667
LUNENBURG CO PBLC SCHS,-0.3442,40357.07,0.3652,0.0789,0.1248,0.1379,0.1868,0.0014,0.0023,0.0449,0.3881,0.5267,721.6667
MONTGOMERY CO SCHOOL DIST,-1.7687,40349.93,0.4099,0.0943,0.1632,0.1642,0.211,0,0,0.0075,0.9023,0.089,163.1667
BRECKINRIDGE CO,0.2574,40340.84,0.4288,0.0626,0.095,0.1714,0.2086,0.0019,0.0058,0.0163,0.0266,0.9296,1205
FRIENDSHIP CENTRAL SCHOOL DISTRICT,-0.7596,40333.27,0.3536,0.0847,0.1719,0.2111,0.2563,0.001,0,0.0072,0.0133,0.9516,162.6667
MONTAGUE ELEMENTARY,-2.0419,40333.27,0.4044,0.2246,0.1162,0.1795,0.1294,0.0537,0.0017,0.1036,0.0187,0.7582,100.3333
NEWPORT CITY SCHOOL DISTRICT,0.5408,40333.27,0.2605,0.1543,0.2125,0.1563,0.2496,0,0,0.0245,0.0239,0.9386,167.6667
PLAINVILLE,0.3704,40333.27,0.2983,0.2136,0.1916,0.0562,0.0872,0.0097,0.0027,0.0209,0.0149,0.9467,190.8333
TGU 60,-0.0255,40333.27,0.2771,0.0825,0.1945,0.1074,0.1406,0.0245,0.0012,0.0438,0.0011,0.9257,142.5
WESTERN HEIGHTS,-2.1779,40328.88,0.3797,0.1265,0.1145,0.1992,0.2689,0.0795,0.032,0.2904,0.1971,0.3781,1573.167
CASWELL COUNTY SCHOOLS,-0.3921,40326.02,0.3982,0.0952,0.1265,0.196,0.2365,0.002,0.003,0.0623,0.3756,0.53,1382.333
ACADIA PARISH,-0.9199,40324.01,0.4413,0.0958,0.1208,0.1738,0.2269,0.0024,0.0007,0.0131,0.2918,0.6757,4505.167
DUNKLIN R-V,0.1752,40312.44,0.4257,0.1212,0.097,0.1819,0.2533,0.0015,0.0076,0.0145,0.0498,0.9223,627
HUNTSVILLE ISD,-0.3675,40297.56,0.4258,0.1155,0.2621,0.2601,0.2524,0.0037,0.009,0.2733,0.2473,0.4499,2811
SANDUSKY CITY,-0.7945,40294.06,0.3867,0.1169,0.1475,0.2057,0.2503,0.0005,0.0019,0.0275,0.3582,0.4175,1443.833
LEBANON SD,-1.3639,40284.04,0.4126,0.0809,0.1018,0.1849,0.2619,0.0019,0.0075,0.544,0.0673,0.374,2001.833
PONTOTOC CO SCHOOL DIST,-0.449,40267.8,0.4266,0.0648,0.0882,0.1884,0.1953,0.0003,0.0005,0.0661,0.1071,0.8179,1558.167
BERTHA-HEWITT PUBLIC SCHOOL DIST.,-0.0438,40249.95,0.3608,0.1116,0.119,0.1131,0.1796,0.0029,0.0092,0.0214,0.02,0.9446,180.6667
GREEN FOREST SCHOOL DISTRICT,-0.0521,40249.95,0.3282,0.1208,0.1104,0.1937,0.2103,0.0026,0.0072,0.4043,0.0027,0.5809,573.6667
MOHAWK VALLEY ELEMENTARY DISTRICT,-1.0022,40249.95,0.4896,0.0573,0.1995,0.1127,0.1513,0.0183,0.0017,0.7006,0,0.2731,106.8333
VERNON ISD,-0.3776,40243.86,0.429,0.1504,0.157,0.2513,0.229,0.009,0.0125,0.3971,0.1117,0.4549,948.6667
BRAXTON COUNTY SCHOOLS,-0.7612,40227.23,0.4044,0.05,0.14,0.1813,0.2376,0.0002,0.0041,0.0029,0.0034,0.9792,929.1667
HARMONY GROVE SCHOOL DISTRICT,-0.4932,40227.23,0.4334,0.124,0.0871,0.129,0.2546,0.0025,0.0043,0.0376,0.2258,0.7194,466.8333
OSCODA AREA SCHOOLS,-0.7276,40227.23,0.3809,0.135,0.1088,0.2002,0.1788,0.0107,0.0123,0.0268,0.0203,0.9206,599.3333
WILLIAMS UNIFIED DISTRICT,-1.4599,40218.71,0.2982,0.1556,0.1797,0.2035,0.1854,0.051,0.007,0.4104,0.0172,0.506,312.8333
HYDRO-EAKLY,-0.3233,40199.96,0.391,0.1515,0.1534,0.2174,0.2347,0.1024,0,0.208,0,0.6763,198.3333
TUKWILA SCHOOL DISTRICT,-0.9196,40192.27,0.4128,0.2072,0.1509,0.2181,0.2926,0.0095,0.2649,0.2659,0.1962,0.1832,1307.167
PASCAGOULA SCHOOL DIST,-0.9969,40188.64,0.4602,0.1842,0.1726,0.2162,0.2471,0.0018,0.013,0.1084,0.4693,0.3931,3191.333
BRIDGEPORT SCHOOL DISTRICT,-1.7472,40173.13,0.4348,0.1548,0.1614,0.1951,0.2199,0.0023,0.0269,0.4757,0.4129,0.0799,9990.167
CATAHOULA PARISH,-0.6791,40166.63,0.4588,0.0908,0.1204,0.2258,0.2663,0.0004,0.005,0.0099,0.4281,0.5552,738.6667
LINCOLN COUNTY,-0.1155,40166.63,0.3727,0.0843,0.1226,0.2108,0.2261,0.0011,0.0024,0.024,0.0194,0.922,1843.5
MURTAUGH JOINT DISTRICT,0.3187,40166.63,0.2844,0.1089,0.1378,0.1349,0.1578,0.0032,0,0.5472,0.0032,0.4337,105
TOWNS COUNTY,0.1696,40166.63,0.3169,0.229,0.1897,0.0773,0.1064,0.0003,0.006,0.0168,0.0013,0.9682,538.8333
CALHOUN COUNTY SCHOOLS,-1.4058,40156.22,0.4149,0.0795,0.0812,0.1529,0.2584,0,0,0.0042,0.0034,0.9875,482.5
CLEVELAND SCHOOL DIST,-1.6308,40156.22,0.4734,0.2705,0.2631,0.2372,0.3329,0.001,0.0076,0.025,0.6948,0.2691,1464
BEREA IND,-0.5629,40142.83,0.4012,0.3706,0.3373,0.2228,0.2934,0.0013,0.0072,0.0457,0.0369,0.8905,510.1667
ALLIANCE CITY,-0.4234,40099.98,0.3714,0.1178,0.132,0.1592,0.1983,0.0025,0.0037,0.0189,0.1387,0.7014,1298
GRAYVILLE CUSD 1,-0.638,40099.98,0.4708,0.1646,0.064,0.2532,0.1737,0,0,0,0,0.9553,138.1667
PUTNAM COUNTY,-0.4148,40099.98,0.3536,0.1743,0.1999,0.1263,0.1207,0.0001,0.0062,0.0711,0.4351,0.4543,1270.333
LYNN,-0.2559,40092.57,0.4276,0.1846,0.176,0.176,0.2099,0.0028,0.0914,0.5075,0.1295,0.2349,6265.667
YREKA UNION ELEMENTARY,-0.8264,40066.65,0.4592,0.2453,0.1874,0.2222,0.2138,0.0931,0.0205,0.1501,0.0083,0.6353,631.5
DEKALB COUNTY,-1.2726,40051.01,0.4107,0.0899,0.1048,0.193,0.2132,0.1269,0.0007,0.2171,0.0101,0.6431,4094.167
HAWTHORNE,-1.2379,40028.73,0.4171,0.1521,0.1263,0.1501,0.1884,0.0017,0.0427,0.6823,0.2329,0.0205,5515.5
ANADARKO,-1.8625,39999,0.4075,0.1835,0.1024,0.2222,0.3181,0.6714,0.0051,0.0974,0.0378,0.1884,854.6667
BALDWIN COUNTY,-1.0811,39999,0.4023,0.1556,0.2148,0.2088,0.2902,0.0012,0.0119,0.0177,0.6422,0.2968,2568.667
BLUFORD CCSD 114,-0.1742,39999,0.3811,0.1057,0.0905,0.0854,0.1231,0,0,0.0099,0.0037,0.9739,184.5
BRISTOW,-0.2746,39999,0.3698,0.1574,0.148,0.2082,0.2634,0.2996,0.0043,0.0302,0.0928,0.573,745
BURLINGTON COMM SCHOOL DISTRICT,-0.2232,39999,0.4089,0.171,0.1779,0.1364,0.1698,0.0022,0.0084,0.0502,0.1446,0.7407,1854.5
CARLISLE ISD,-1.1023,39999,0.4082,0.1349,0.199,0.2521,0.2397,0.0105,0,0.469,0.0246,0.4892,290.5
CENTERVILLE COMM SCHOOL DISTRICT,0.1429,39999,0.3866,0.1769,0.1716,0.1896,0.1536,0.0035,0.0155,0.0123,0.009,0.9566,623.1667
CLAY COUNTY SCHOOL DISTRICT,-1.3136,39999,0.3602,0.0896,0.1304,0.1546,0.2169,0.0038,0,0.0137,0.0158,0.9635,474.1667
COLUSA UNIFIED,-1.8549,39999,0.4012,0.1241,0.1157,0.1454,0.1435,0.0352,0.0118,0.6322,0.0078,0.2979,619.8333
DOTHAN CITY,-0.3533,39999,0.4406,0.2583,0.2093,0.1541,0.1948,0.0024,0.0141,0.0322,0.553,0.3945,4345.667
EGG HARBOR CITY,-0.7879,39999,0.3596,0.145,0.1381,0.1981,0.2206,0.0069,0.0274,0.384,0.2234,0.3502,260.6667
GLENNS FERRY JOINT DISTRICT,-1.0975,39999,0.3827,0.0948,0.1241,0.0669,0.096,0.0074,0.0017,0.4751,0.0049,0.5109,204.3333
MAHANOY AREA SD,-0.0062,39999,0.3367,0.0776,0.0953,0.1306,0.1866,0.002,0.0017,0.0594,0.0305,0.9057,492.1667
MASON ISD,0.7421,39999,0.3951,0.2854,0.2812,0.1209,0.2023,0,0.0022,0.3481,0.0023,0.6473,293.1667
MELBOURNE SCHOOL DISTRICT,0.5311,39999,0.4595,0.1581,0.1491,0.1563,0.2199,0.0062,0.004,0.014,0.0086,0.9545,409.1667
MOUNT IDA SCHOOL DISTRICT,-0.3581,39999,0.4018,0.1364,0.1237,0.1812,0.1876,0.0095,0.0044,0.0146,0.0076,0.9637,252.8333
MSAD 04,-0.3629,39999,0.4313,0.0941,0.1013,0.1371,0.1858,0.0022,0.0011,0.0124,0.009,0.9596,297.6667
