educationagencyname,averagetest,income50perc,percentblacks,percentwhites,totalenrollment
ANDERSON 01,0.5828,65680.09,0.0654,0.8556,4355.667
ANDERSON 02,0.378,43481.45,0.1679,0.7924,1723.667
ANDERSON 03,-0.896,41666.33,0.106,0.8485,1218.5
ANDERSON 04,0.2046,51632.49,0.1698,0.7695,1308.167
ANDERSON 05,0.001,47217.3,0.3506,0.5674,5733.833
ANDERSON CO,0.4641,60153.05,0.0176,0.9237,1719.667
ANDERSON COMMUNITY SCHOOL CORP,-0.6701,41333.07,0.2098,0.6487,3900.167
ANDERSON COUNTY SCHOOL DISTRCT,-0.6555,54807.21,0.0193,0.9659,3065.167
ANDERSON ELEM,1.9342,70199.32,0,0.9456,135.3333
ANDERSON VALLEY UNIFIED,-1.2034,34374.13,0.0014,0.2101,245.8333
ANDERSON-SHIRO CISD,-0.1455,58460.69,0.086,0.7605,319.6667
ANDES CENTRAL SCHOOL DISTRICT 11-1,-0.888,41249.75,0.0032,0.285,175.1667
ANDOVER,2.9349,147843.9,0.0109,0.805,3000.333
ANDOVER,1.7084,101373.6,0.0163,0.827,2887.167
ANDOVER CENTRAL SCHOOL DISTRICT,-0.2111,42499.5,0.0042,0.9767,162.5
ANDOVER REGIONAL,1.166,111640.2,0.0193,0.9363,396.8333
ANDOVER SCHOOL DISTRICT,1.6717,86817.71,0.0163,0.928,172.5
ANDOVER SCHOOL DISTRICT,1.0681,75999.96,0,0.9775,149.8333
ANDREW COMM SCHOOL DISTRICT,0.0166,53199.68,0.0113,0.9701,114.5
ANDREWS ISD,-0.4391,54860.63,0.0199,0.3285,1502.167
ANGLETON ISD,0.4717,54799.52,0.1236,0.4084,2806.833
ANITA COMM SCHOOL DISTRICT,0.8085,56999.3,0.0132,0.9868,48
ANKENY COMM SCHOOL DISTRICT,1.4074,93610.37,0.0141,0.9103,4028.167
ANN ARBOR PUBLIC SCHOOLS,1.7822,96125.91,0.1429,0.5631,7944.667
ANNA CCSD 37,-0.4028,54721.75,0.006,0.9403,443.8333
ANNA ISD,0.3997,55999.4,0.0818,0.6248,1068.333
ANNA LOCAL,1.6181,71999.2,0.0016,0.9703,606
ANNANDALE PUBLIC SCHOOL DISTRICT,1.7504,69999.34,0.0074,0.9447,766.1667
ANNAWAN CUSD 226,0.7138,60499.96,0.0027,0.904,172.3333
ANNE ARUNDEL COUNTY PUBLIC SCHOOLS,1.0459,89181.28,0.2117,0.6256,33862.33
ANNETTE ISLAND SCHOOL DISTRICT,-0.8755,41999.6,0.0012,0.0114,131.5
ANNISTON CITY,-2.3496,31799.64,0.9143,0.0556,1014.5
ANNVILLE-CLEONA SD,0.7085,66617.2,0.0161,0.9318,700.6667
ANOKA-HENNEPIN PUBLIC SCHOOL DIST.,0.9991,80402.11,0.0951,0.7746,17662.5
ANSELMO-MERNA PUBLIC SCHOOLS,-0.2315,51666.5,0.0064,0.9656,101.5
ANSON COUNTY SCHOOLS,-1.3389,37822.02,0.5841,0.3414,1704.333
ANSON ISD,-0.2079,49427.69,0.0228,0.4679,309.6667
ANSONIA LOCAL,0.5262,44599.08,0.0005,0.9824,314.5
ANSONIA SCHOOL DISTRICT,-0.3795,60535.68,0.2018,0.5114,1156.333
ANTHON-OTO COMM SCHOOL DISTRICT,-0.4725,62999.8,0.0219,0.9184,207
ANTHONY ISD,-1.3643,27499.5,0.0115,0.0429,361
ANTHONY WAYNE LOCAL,1.7151,91260.41,0.0139,0.8971,2220.667
ANTHONY-HARPER,0.7428,49427.68,0.0046,0.847,368.8333
ANTIETAM SD,-0.233,64062.23,0.0656,0.7082,498.3333
ANTIGO SCHOOL DISTRICT,-0.3018,54696.5,0.012,0.9094,1027.167
ANTIOCH CCSD 34,0.5832,92240.69,0.0291,0.7896,2008
ANTIOCH UNIFIED,-1.4768,70261.05,0.241,0.2096,8490.667
ANTLERS,-0.6144,19999,0.0061,0.5725,432.3333
